LUOGO,INDIRIZZO,LAT,LON
MUSMA,VIA MURO,40.66611,16.61227
CASINO PADULA,VIA DELL_ARIETE,40.64239,16.62508
TEATRO LUIGI QUARONI ,BORGO LA MARTELLA,40.66112,16.53571
CONVICINIO DI SANT_ANTONIO,RIONE CASALNUOVO,40.66163,16.61282
SANTA LUCIA ALLE MALVE,RIONE MALVE,40.66317,16.61247
PALAZZO LANFRANCHI,PIAZZETTA G. PASCOLI,40.66318,16.61012
MUSEO DOMENICO RIDOLA,VIA DOMENICO EIDOLA,40.66385,16.60921
MADONNA DELL_IDRIS,VIA MADONNA DELL_IDRIS,40.66408,16.61213
CONSERVATORIO DI MUSICA E. R. DUNI,PIAZZA DEL SEDILE,40.66529,16.60975
AUDITORIUM,VIA SAN FRANCESCO D_ASSISI,40.66533,16.60959
PALOMBARO LUNGO,PIAZZA VITTORIO VENETO,40.66667,16.60645
CHIESA SANTA LUCIA E AGATA,PORTA PISTOLA,40.66708,16.61387
COMITATO MARIA S.S. DELLA BRUNA,PIAZZA VITTORIO VENETO,40.66712,16.60595
UNIVERSITA DELLA BASILICATA,VIA SAN ROCCO,40.66728,16.60859
CASA CAVA,VIA SAN PIETRO BARISANO,40.66849,16.60921
COMPLESSO DEL CASALE,VIA CASALE,40.66871,16.61061
SAN GIOVANNI BATTISTA,PIAZZA SAN GIOVANNI BATTISTA,40.66774,16.60796
CHIESA DI SAN PIETRO BARISANO,VIA SAN PIETRO BARISANO,40.66876,16.60927
CAVA PARADISO,CONTRADA LA PALOMBA,40.68084,16.60508
